,Speaker,Text
14797,Sheldon,What’s going on?
14798,Leonard,Sheldon?
14799,Sheldon,Shhhhh!
14800,Leonard,We don’t order egg rolls.
14801,Penny,Amy do us a favour please drive.
14802,Raj,I don’t understand it. I’m a nice guy I have a great job I’m well-educated come from a good family. Why don’t women want to be with me?
14803,Penny,No really how much?
14804,Leonard,So menus.
14805,Sheldon,Well neither is the rule that you have to hold your girlfriend’s hand at the movies. You know. That doesn’t stop you from pawing at me like you’re a bear and I’m a trash can full of sweets.
14806,Leonard,Yeah.
14807,Sheldon,Greece.
14808,Penny,Should I ask?
14809,Leonard,Well I’d like to be green but you know you always take it.
14810,Leonard,They’re gonna get beaten up at that club.
14811,Leonard,Okay I can breathe again. Babe they want to have sex.
14812,Sheldon,Pretty sure’s not very scientific is this how you normally work just hunches and guesses and stuff?
14813,Leonard,Sheldon let’s go.
14815,Howard,I was Googling that girl I’ve been dating and I found her blog.
14816,Sheldon,As someone from the tropical subcontinent of India you should know that fanning yourself in a humid environment only raises your body temperature.
14817,Howard,Check.
14818,Raj,Yeah yeah a little.
14819,Leonard,Wow!
14820,Leonard,Oh looks like it.
14821,Leonard,Well I’m done with Penny. I’m going to be more realistic and go after someone my own speed.
14822,Howard,I was homesick.
14823,Sheldon,I’ll let you know after tonight. Unlike some people I’m going in with an open mind. Who am I kidding? Of course we all know it’s O-gauge or no gauge.
14824,Penny,Oh thanks for asking until I did.
14825,Raj,What’s the matter?
14826,Raj,Hey people were still talking about that party on siete de Mayo.
14827,Leonard,I’m her boyfriend.
14828,Sheldon,Hardly. Fear of heights is illogical. Fear of falling on the other hand is prudent and evolutionary. What would you say is the minimum altitude I need to achieve to cement our new-found friendship?
14829,Penny,Okay enough about the napkin. What else you hiding in there?
14830,Raj,Hello Father. We need to talk.
14831,Penny,Ice cream?
14832,Leonard,The same reason we don’t do a lot of fun stuff. You.
14833,Raj,Oh okay. Sounds like it’s me and you Sheldon. How about we sic some guppies on those puppies?
14834,Sheldon,It has been pointed out to me that some of the things I said to you could be construed as offensive and I would like to offer you my sincerest apology.
14835,Leonard,First thing tomorrow morning we’re back at it.
14836,Penny,Yeah.
14837,Raj,Hey Leonard Sheldon kicked me out of the room gave me your key.
14838,Howard,No. We can do this by ourselves.
14839,Penny,A few minutes it is.
14840,Raj,She didn’t take my order.
14841,Penny,I’m listening.
14842,Penny,Screw him. You’re fine.
14843,Raj,And where were you?
14844,Howard,I can actually feel the toxins being pulled out of my skin.
14845,Sheldon,Un-unravelable.
14846,Howard,You unfriended me? Seriously?
14847,Penny,I should probably go.
14848,Raj,Hey you think it’d be okay if I brought Claire to the wine tasting?
14849,Leonard,No no. It’s kind of crazy. I’ve never fooled around in the lab before.
14850,Penny,Okay I don’t know you people. I’m just an innocent woman wondering if this shoe store will take my Texaco card.
14851,Howard,I wonder what he’s doing right this very second.
14852,Leonard,Give it a minute. Is that a little smile I see there? I should go.
14853,Howard,How many sips of that beer did he have?
14854,Leonard,So it’s based on your life?
14855,Sheldon,I’m ready.
14856,Raj,My parents are making me choose between money and you. I choose you.  And that necklace yeah that too. But none of those things matter because we have something better. We have love.
14857,Leonard,I’ll friend you on Facebook.
14858,Sheldon,All right Ms. Jenson. Uh before we begin may I offer you a refreshment? Water coffee tea a marijuana cigarette?
14859,Sheldon,To be played with.
14860,Leonard,Sheldon sit down.
14861,Sheldon,Gentlemen I think I’ve come up with a fun way to get young people interested in science. Physics Mad-Libs. Now give me a number.
14862,Sheldon,The university they think they can do whatever they want. We just have to sit there and take it.
14863,Sheldon,Did you hear that Leonard? There’s plenty we could do about it. Do you have a card?
14864,Howard,There’s also a time to stop eating too many jelly beans. And it’s when you’re ten.
14865,Howard,I do. I just wouldn’t tell my girlfriend.
14866,Leonard,Excuse me my friend is having an allergic reaction to peanuts.
14867,Penny,Hang on. Let’s see where he’s going.
14869,Leonard,Won’t.
14870,Sheldon, It’s not the first time. I have a twin sister whose assaults began in utero. If only I’d had the presence of mind to reabsorb her then I’d have a mole with hair in it instead of a tedious yearly Christmas letter.
14871,Leonard,That’s different. I’m like the little girl in Poltergeist and he’s the creepy thing in the TV.
14872,Sheldon,No no no no!
14873,Sheldon,I’m not in San Francisco. I’m on a train. Were you even listening to me?
14874,Penny,You really want me to pick up your mother all by myself?
14875,Penny,It’s more like how girls end up at a Best Western hotel with a 34-year-old guy named Luther.
14876,Penny,Uh hang on. I don’t think so I’m clicking on one weird trick for a flat belly but I’m still seeing celebrities who look like their pets.
14877,Leonard,Slowly like putting a new fish in a tank. You don’t just drop it in you let the bag sit in the water a while.
14878,Leonard,Sorry about that.
14879,Penny,No. I’m the one that introduced him to her. I’ve got to say something.
14880,Sheldon,Or amongst if they were feeling whimsically archaic.
14881,Leonard,Aw oh thank you. That is so sweet.
14882,Raj,Excuse me.
14883,Leonard,Sorry I’m sorry I’m sorry! Never mind we’re cool.
14884,Raj,Just that I’m definitely not gay.
14885,Leonard,What about you Raj?
14886,Leonard,Yeah.
14887,Sheldon,Wait. Hold on. I believe screw it I’m going in is what I said to your mother last night. Don’t worry I didn’t really say that. I find the concept of coitus ridiculous and off-putting.
14888,Leonard,It’s a bachelor party. Lighten up.
14889,Penny,Um home to write some bad cheques.
14890,Sheldon,Yes but the communication is not encrypted.
14891,Sheldon,I just said that. This conversation has started to circle. Meeting adjourned.
14892,Leonard,Never mind. I got it.
14893,Leonard,Really you guys do not need to throw me a going-away party.
14894,Sheldon,Oh Dear Lord more rules? Where does it stop? Can I want to go because I have to want to go?
14895,Penny,I mean we’re basically the same age.
14896,Howard,I’m a lamb.
14897,Leonard,Maybe they reassigned it because you never use it.
14898,Leonard,They’re gorgeous.
14899,Sheldon,You take that back.
14900,Sheldon,Again time machine.
14901,Penny,Oh no no those hooks are gone.
14902,Leonard,That sounds fun.
14903,Raj,Annie Ogly.
14904,Sheldon,Oh dear. Penny have you been recording shows on our DVR again?
14905,Penny,No we’re a team. If you can’t go in we’re not going in.
14906,Penny,Well why were you so angry?
14907,Howard,I keep telling you if I wasn’t an astrophysicist I would have been a party planner. It was always a coin flip.
14908,Raj,Oh you mean passive-aggressive like posting pictures of you and your wife eating cosmopolitan balls that you know belong in my mouth?
14909,Penny,Yeah that’s basically what I said.
14910,Sheldon,So if there is an earthquake and the three of us are trapped here we could be out of food by tomorrow afternoon.
14911,Penny,Oh no no no. It is just beginning.
14912,Sheldon,Oh great see you at seven.
14913,Leonard,I don’t know what to tell you Sheldon. I’m going to see Priya. Everyone’s over there. You coming or not?
14914,Leonard,Uh do you know how Penny told Raj he should have left her off his list?
14915,Sheldon,Father.
14916,Leonard,Well maybe you should tell him.
14917,Sheldon,The only man who can restore any semblance of balance to our universe.
14918,Penny,She’s not one of those phonies okay. She wrote a book and has her own Web site.
14919,Leonard,My point is immortality is not only a possibility it is real.
14920,Penny,Okay great. Well then why don’t you come over next Saturday and watch the game with us.
14921,Sheldon,Leonard do you think I’m funny?
14922,Penny,Yeah sure. What are you washing? A crocodile?
14923,Penny,Amy stop it. Oh God I’m so nervous.
14924,Howard,No.
14925,Leonard,I really don’t know.
14927,Leonard,Now that Penny and I are engaged I thought we might want to talk about our living arrangements.
14928,Penny,I don’t think so.
14929,Sheldon,Fine we’ll abide by the Geneva Convention. But ask yourself this in the course of our lives how much lunch money has been taken from us? How many kites? How many Scooby-Doo Trapper Keepers?
14930,Sheldon, Mrs Davis? I know you’re in there. I saw your car in the parking lot.
14931,Leonard,If you get him a job he’s gonna live here forever!
14933,Sheldon,All right all right look l let’s all let’s remain calm and analyse this situation. Now I realize that you’ve only known each other for less than a day but is it possible this crankiness is because your cycles have synced?
14934,Raj,It’s your anniversary? Oh my God I had no idea. Amy please let me make this right.
14935,Leonard,Sheldon I got this.
14936,Raj,That’s true. He didn’t just stay there and talk about his feelings with the other psychotic villains. He he broke out and poisoned Gotham’s water supply.
14937,Leonard,Thank you that’s very comforting.
14938,Penny,Yeah this is a special circumstance.
14939,Sheldon,Let me guess.
14940,Sheldon,That’s what I said.
14941,Howard,I have no choice.
14942,Sheldon,Well we’ll just see about that.
14943,Penny,Oh. Um okay. Why don’t you give me an hour and come over?
14944,Raj,It’s fantastic apparently the camera loves me and I it. They shot me in front of a starry background where I posed like this.  They’re going to digitally add a supernova they say it’s the perfect metaphor for my incandescent talent.
14945,Penny,Oh I’ll wedge it right in there.
14946,Leonard,Mm dreamily doodling Mrs. Leonard Hofstadter in a notebook?
14947,Raj,What?
14948,Sheldon,I don’t blame you. You were intoxicated.
14949,Penny,Yeah they already know I’m a pharmaceutical sales rep.
14950,Howard,Okay that’s enough. Write down loving son.
14951,Raj,Maybe. If it did I’d be famous. I’d be on the cover of magazines. And then instead of living alone in my tiny apartment I’d have a big mansion.
14952,Howard,You know if you think about it tonight was kind of like a real-life Game of Thrones.
14953,Leonard,Sheldon just buy scalped tickets with us.
14954,Sheldon,Everybody has a date. Even you Mario going after Princess Peach. And what am I doing I’m just enabling you.
14955,Sheldon,Yeah I’ll definitely live long enough. Vitamin C.
14956,Sheldon,Stuart wait. I do know what it feels like to be left out.
14957,Sheldon,Very well then. Get over my knee. Let’s begin.
14958,Sheldon,What?
14959,Howard,I should go.
14960,Penny,Oh in ours we would just run around town looking for a store that would sell us beer.
14961,Raj,You know I have too much self-esteem to let this girl guilt me into getting back together with her.
14962,Howard,Oh Lucy you don’t have to answer that. Don’t put her on the spot. She hates that. Am I right? Tell her how much you hate being put on the spot. Go ahead tell her.
14963,Sheldon,Oh very well. What are the sleeping arrangements? We’ve only been dating for three years. If we were to share a room people might talk.
14964,Sheldon,Are you concerned because the world is filled with big dogs and bullies?
14965,Leonard,Sheldon it’s two o’clock in the morning.
14966,Sheldon,She sounds exactly like you.
14967,Howard,No no no that would be crazy. I mean if I were hitting on you you’d know it ’cause you’d feel uncomfortable and a little sad for me.
14968,Howard,Sorry I’m just trying to cheer my buddy up. Rotting Zombie. Sheldon’s new Facebook photo.
14969,Penny,My dad killed my pig with his tractor.
14970,Penny,Oh come on don’t be like that.
14972,Leonard,Ready.
14973,Raj,I find a girl I like and you’re stealing her?
14974,Raj,Are they actually arguing about comic books?
14975,Penny,But I never gave the man a chance to explain.
14976,Sheldon,Oh it won’t hurt my feelings. Go ahead Amy say I’m annoying. I’m annoying. I’m annoying. I’m annoying. Yeah now uh now where are you going? Look you know you want to say it say it. Say I’m annoying. Go ahead say it. Say it. Say it. Amy say it. Well she can’t stand it when I’m right.
14977,Leonard,Okay. Good luck.
14978,Sheldon,Did she say anything about me? Never mind. I don’t care. Well if you care you can find out and tell me. Just don’t be shocked when you find out that I don’t care.
14979,Howard,You’re right I am humiliated. Thanks for pointing it out. You’re such a jerk.
14980,Leonard,What I don’t believe is that you tried to run him over.
14981,Raj,I will. You can download my paper on the Van Allen Belts from the university server as well.
14982,Howard,I should say so he appears to be a member of the Nigerian royal family.
14983,Sheldon,No we haven’t spoken since your abrupt departure last night caused us to forfeit to Stuart and his dastardly ringer Wil Wheaton.
14984,Leonard,If we do I am splurging on the best sinus irrigator money can buy.
14985,Raj,Wh what happened?
14986,Raj,Okay I get it he’s a bad guy. Sign here.
14987,Leonard,I’m done anybody else?
14988,Sheldon,Depending on the depth that’s either a proctologist or a general surgeon.  Oh!
14989,Leonard,No. No I understand. I got too intense you had to back off.
14990,Sheldon,Penny I know you mean well offering the skills of the hill folk but um here in town we don’t churn our own butter we don’t uh make dresses out of gunny sacks and uh we sure as shootin’ don’t get our hair cut by bottle-blonde…
14991,Raj,Yeah but why are you fat?
14993,Sheldon,You’re back.
14994,Howard,Hey.
14995,Leonard,Good. I’m taking that disgusting chart off the fridge.
14996,Sheldon,You can’t slay the guard captain with a bronze dagger my Lord it’s like the car key in your apartment door all over again.
14997,Howard,He’s right.
14998,Sheldon,Chair.
14999,Sheldon,Oh calm down. I already put away five of these. You see? No muss no fuss not a single cuss.
15000,Howard,Oh what’s so gothic about vodka and cranberry juice?
15001,Leonard,So how was work today?
15002,Raj,Mrs. Davis I uh I must confess I came here tonight in a futile attempt to pick up some lonely postdoc but instead I got to connect with you at a human level. That’s a much better evening. You’re a lovely person.
15003,Howard,None of your business. Take it or leave it.
15005,Raj,Sheldon I think you might find the support you’re looking for if you realize that relationships are a give and take. She can only be there for you as much as you are for her.
15007,Howard,Dr Gablehouser.
15008,Raj,Dude how many races can you offend in a single breath?
15009,Sheldon,Yeah well they shouldn’t have. My calculations were wrong. There must be some resonance between the elements I didn’t know about.
15010,Sheldon,Some important new information has come to light. Women are the worst. I thought it was paper cuts but I was wrong. No piece of paper ever cut me this deep.
15011,Sheldon,That’s my boy.
15012,Raj,How so?
15013,Raj,This is it.
15014,Leonard,Fine.
15015,Penny,Okay. There’s one not far from here. Come on. Let’s go.
15016,Sheldon,Since when is eggnog a Christmas drink? Eggs are available all year ’round. I’ve been known to enjoy this poolside.
15017,Sheldon,You can’t go home. You have to take me to the dentist at four o’clock.
15018,Raj,No this is creepy.
15019,Sheldon,Oh. Hello doggie. Nice doggie. I bet you think you smell hot dogs. Look a cat!
15020,Leonard,Look I am in the Halo battle of my life here there’s this kid in Copenhagen he has no immune system so all he does is sit in his bubble and play Halo 24/7.
15021,Penny,Are we ever going to get to the elevator?
15022,Sheldon,Albert Einstein.
15023,Leonard,Yeah it is a little like getting into Dracula’s coffin.
15024,Sheldon,You know I am a fan of ventriloquism. Maybe you me and your dummy could go get a hot beverage. He could talk while you drink.
15025,Howard,So why don’t you get it fixed?
15026,Howard,Follow my lead. Almost. We’re we’re going to go out into the hallway and uh make a dramatic entrance.
15027,Sheldon,Yes but he’s going to a better place where he won’t get beat up. So much.
15029,Penny,Not for twenty six hundred years.
15030,Howard,Tricking Penny into getting engaged.
15032,Sheldon,If there’s going to be a theme I should let you know that I don’t care for luau toga or under the sea.
15033,Penny,I said I don’t want to talk about it.
15034,Sheldon,Well but hear me out. The atomic bomb was The Manhattan Project. Windows 95 was originally Project Chicago. For our app I would humbly suggest Project Nodlehs.
15035,Leonard,I think we’re fine Stuart.
15036,Leonard,So… fish.
15037,Sheldon,Stephen Hawking hates me.
15038,Leonard,Here’s my chicken curry. Howard your shrimp biryani.
15039,Leonard,Buddy.
15040,Sheldon,He left a boy he returns a boy-sized hero.
15041,Howard,I still love it. I just think there’s room for improvement.
15042,Howard,Guys when I look at the two of you starting your lives together it fills my heart It fills my heart okay I’m going to need a minute.
15044,Leonard,Great timing. My check sphincter light just went on.
15045,Leonard,And your poll numbers just keep dropping.
15046,Leonard,Oh how will we ever get used to the new you?
15047,Penny,You’re just coitusing with me aren’t you?
15048,Sheldon,No. This is. Stop looking at my legs.
15049,Penny,Nancy. Her name is Nancy.
15050,Raj,Oh you want to bet? You never exercise.
15051,Sheldon,This is a very old building.
15052,Penny,What are you doing in my bedroom?
15053,Penny,You’re kidding right?
15054,Sheldon,I will not calm down. This affront to justice and decency cannot go unanswered. As Captain Jean-Luc Picard once said the line must be drawn here! This far no farther!
15055,Howard,And snacks.
15056,Sheldon,No yeah yeah he’s got it and that’s not surprising. This is something I long ago came to peace with in my role as the beta male. Open it. 
15057,Penny,Okay that’s morbid. Send it back.
15058,Sheldon,It’s Saturday night. Saturday is laundry night.
15059,Raj,No Daddy no. There are lots of other ways to teach me responsibility. I know you can give me an egg and make me take care of it for a week.
15060,Howard,Oh okay Leonard?
15061,Leonard,I guess this could count as an adventure.
15062,Howard,Ugh Toby what did you do in a past life to be so disgusting now?
15063,Sheldon,When does the CSI team get here?
15064,Sheldon,Good Penny reminder bowling tonight at seven o’clock.
15065,Leonard,So it’s nothing I did? It’s her problem?
15066,Sheldon,I’d rather you pretend I didn’t say it. I see you bought Mama Italia marinara spaghetti sauce.
15067,Leonard,Oh yeah. The Mr. Spock cuckoo clock.
15068,Sheldon,Excuse me excuse me can I please see a show of hands? Who here takes issue with this person cutting the line?
15069,Howard,Yeah it’s a crushed velvet baby cape.
15070,Sheldon,Oh it’s all right I do. Oh! You’re in for what my mother calls a real Eye-talian treat. .
15071,Penny,I can’t do it with you staring at me.
15072,Sheldon,Hello.
15073,Sheldon,I read his research and it’s leaps and bounds ahead of mine. Which means the mommy of the smartest physicist at the university is not my mommy as I had thought. It’s his mommy.
15074,Leonard,This could work.
15075,Howard,Great. They get girlfriends and they just abandon us?
15076,Leonard,Yeah.
15077,Leonard,Why would you do that?
15078,Penny,Um I don’t know. You’ll be gone and I’ll notice.
15079,Sheldon,What if someone kidnaps me forces me to record my voice and then cuts off my thumb?
15080,Leonard,No specific to my situation.
15081,Sheldon,What do you see in her?
15082,Penny,Howard wait. Sheldon I think we should tell them.
15083,Raj,Well I ran a simulation that allowed me to correct for the observational efficiency.
15084,Raj,Hey guys I’m trying to cook in here.
15085,Sheldon,You at least listen to the premise. Since you were born in Germany I thought we could talk
15086,Leonard,Can I sleep on your couch tonight?
15087,Penny,I’m calling him.
15088,Leonard,Are you set on people laughing with you? ‘Cause if you’re cool with at you…
15089,Howard,Thirty visionaries under thirty years of age to watch as they challenge the preconceptions of their fields.
15090,Raj,We should have asked her to get some Funyuns.
15091,Leonard,We’re just supposed to pretend it’s not a big deal?
15093,Penny,Oh. So is this Bruce Lee’s nerdy brother Stan?
15094,Sheldon,You know I have to say Penny I don’t understand why you of all people are encouraging Leonard to do this.
15095,Leonard,Yes. It’s my water.
15096,Sheldon,So we’d be perpetrating a ruse?
15097,Leonard,Nothing bad just that last night was fine.
15098,Sheldon,I have a lady friend who will be staying with me for a few days.
15099,Penny,I don’t know. You could talk to her and maybe if it comes up you could ask if she’s heard about the drug.
15100,Penny,Hi. Here are the make-up sponges you asked for.
15101,Leonard,What?
15102,Leonard,Sheldon not now.
15103,Penny,Hi.
15105,Sheldon,I apologize. He’s only an experimental physicist.
15106,Penny,All right it’s called Never Have I Ever. The rules are simple. Someone says something they’ve never done but if you have done it you take a drink.
15107,Leonard,You’re right I’m sorry.  I’m not!
15108,Sheldon,When you understand the laws of physics Penny anything is possible. And may I add mwah-ha-ha!
15109,Raj,Be afraid of Penny nice very crafty.
15110,Penny,Why you guys going somewhere?
15111,Sheldon,Where?
15112,Howard,Holy crap.
15113,Sheldon,Why would I touch her she’s covered with airplane germs.
15114,Leonard,We’re not… Where’s my Bat Signal?
15115,Penny,Yeah really well my friends at work found it my sister found it judging by my email a number of prisoners at the Michigan State Penitentiary found it.
15116,Sheldon,No. But it’s a shame our society mocks the differently uvulated. Who was at the door?
15117,Sheldon,I have two words for you Jurassic Park. This day just keeps getting worse and worse.
15118,Leonard,Well yes and you’re listed as Chief Executive Officer Chief Financial Officer and Chief Operating Officer.
15119,Howard,Howard please you can’t treat the man differently just because he’s disabled. That’s not okay.
15120,Raj,You hear that Stuart? I’ve got a dog and a godchild you have nothing.
15121,Penny,Okay maybe I’m the one who’s sad.
15122,Sheldon,Well that’s enough of that. Sorry to interrupt. You two enjoy your date. Here’s a dollar for your troubles. Get yourself some Sour Patch Kids.
15123,Leonard,That’s amazing. You’ll be like his pit crew. A word of caution I would not do your Stephen Hawking impression in front of him.
15124,Raj,Leonard’s putting disgusting memories in my memory foam mattress. Can I stay here tonight?
15125,Penny,Things are looking good.
15126,Sheldon,For me.
15127,Leonard,You do realize you own his ass right now.
15128,Leonard,I bought a baseball cap.
15129,Howard,Come on. Don’t make me beg. And I’m from India so I know how to do it.
15131,Penny,To you?
15132,Howard,Happy and well-fed. You see that’s what I’m taking from that story.
15133,Penny,Well of course he’s desirable. I mean he’s great. He’s smart he’s sweet and ooh in the bedroom whew let me tell you he really tries.
15134,Leonard,Hey what took you guys so long?
15135,Penny,Oh sweetie that’s what sex is for.
15136,Sheldon,Alright let’s dispense with the friendly banter I believe you know why I’m here.
15137,Penny,What is it?
15138,Sheldon,I’d like to say it’s nostalgia but every time I think of throwing anything away my ears start to ring and I get butterflies in my stomach. And then it feels like the butterflies get eaten by rats and then the the rats get eaten by…
15139,Penny,Oh. Hey Sheldon. What can I get ya?
15140,Raj,I don’t know.
15141,Leonard,I mean I’m a perfectly nice guy. There’s no reason we couldn’t go to the restaurant and have a lovely dinner. Maybe take a walk afterwards talk about things we have in common “you love pottery? I love pottery!” You know there’s a pause we both know what’s happening I lean in we kiss it’s a little tentative at first but then I realise she’s kissing me back and she’s biting my lower lip you know she wants me this thing is going the distance we’re going to have sex! Oh God! Oh my God!
15142,Sheldon,Here. I’m hoping once you reap the endorphic rewards of the steady clickety-clack of steel wheels on polished rails your sour disposition will abate.
15143,Leonard,That’s all of us. Can I use the laptop?
15144,Sheldon,Hi.
15145,Raj,Hey can I ask you a favour? Would you mind taking Cinnamon for a walk?
15146,Leonard,Maybe we should get you home.
15147,Howard,Yeah that’s good. Keep telling yourself that. 
15148,Sheldon,But I haven’t decided yet.
15149,Sheldon,Stop yelling! I’m not happy about this.
15150,Leonard,During the kissing? What did you do sneeze in her mouth? I did that to a girl once.
15151,Sheldon,Yeah he’s right. Once in a moment of candour I told Amy that her hair reminded me of a duck caught in an oil spill. She stormed out. Which was sad because we were playing Scrabble and I had all the letters to spell persimmon.
15152,Leonard,Sheldon.  What’s going on?
15153,Howard,Oh come on. What’s the worst that could come of this meeting?
15154,Sheldon,Oh I hope so. What happened to you last night?
15155,Sheldon,Heard you the first time.
15156,Sheldon,Really? They don’t let strange women from honky-tonks come in and play with $200million government projects on distant planets?
15157,Leonard,There were only two people there?
15158,Penny,Hey look it’s Shamy.
15159,Leonard,Hmm I think I got them all. Nope they’re not in there.
15160,Sheldon,Obviously you’re not well suited for three-dimensional chess perhaps three dimensional candyland would be more your speed.
15161,Sheldon,Yeah well no not to them. To me. Time traveling mailbox. The only time that traveled was an hour and half of my life down the toilet.
15162,Leonard,What?
15163,Sheldon,Ooh good question. Everyone loves stories about Sheldon Cooper boy genius.
15164,Howard,Bert has a room for rent.
15165,Sheldon,I am a bit of a unicorn. Well you certainly seem like a special lady uh but as you know you missed the deadline so thanks for playing.
15166,Sheldon,Hello. I didn’t expect you this evening.
15167,Raj,Leonard stole my woman and he knew full well I was only six to eight months away from making my move.
15169,Sheldon,Wait. You have to drive me.
15170,Sheldon,It’s simple biology. There’s nothing I can do about it.
15171,Sheldon,Shame on you. Where would we be if poodle breeders had that attitude? I’ll tell you. We would have the standard and the miniature poodle but no toy or teacup. Which by the way is not an officially recognized breed but that’s just poodle politics.
15172,Howard,No no Penny don’t dismiss his feelings.
15173,Leonard,No.
15174,Sheldon,May I point out in a parallel universe your friends are saying Maggie McGeary she sounds lovely.
15176,Sheldon,You should know I had nothing to do with that.
15177,Penny,Okay now holding sides of hearth in position lower mantelpiece assembly onto top tabs.
15178,Sheldon,Well isn’t this nice. Sometimes the baby wins.
15179,Sheldon,It’s totally understandable. In bladder voiding as in real estate it’s location location location.
15180,Leonard,Okay well there is a lot of merit to both theories.
15181,Sheldon,She called me dumbass.
15182,Raj,Well what if it’s one consenting adult and one adult who pretends to consent because he’s afraid of being alone?
15183,Leonard,Oh. You know I’m really starting to not like this guy.
15184,Sheldon,Is there some problem?
15185,Howard,Why?
15186,Raj,How about Lasic?
15187,Sheldon,Fine I’ll go. Just for the record my Aunt Ruth died in a hospital. She went in to visit my Uncle Roger caught something and bit the dust a week later. The two of them now share a coffee can on my mother’s mantel.
15188,Leonard,Uh-huh.
15189,Raj,Sorry go ahead and make your joke.
15190,Penny,Yup we’re all in.
15191,Sheldon,Oh good one.
15192,Sheldon,My apologies you’ve been sitting in it all along. Leonard you want to slide over one?
15193,Sheldon,I think a more amusing violation of Raj’s trust is when Howard convinced him that foreigners give presents to Americans on Thanksgiving.
15194,Leonard,Yeah it’s from Changs.
15195,Sheldon,All right great. Just give me one minute and I’ll get started on a new roommate agreement. Yeah. nothing from Pratt we’re good.
15196,Howard,I’m sure many women in happy relationships spend their nights skyping with their ex-boyfriend Sanjay.
15197,Sheldon,What’s going on?
15198,Penny,Oh we just want you to be prepared for any surprises that might happen tomorrow.
15200,Howard,As long as we’re apologising Sheldon I I’m sorry I used your toothbrush.
15201,Raj,Or as I called it Planet Bollywood. Anyway because of my discovery People magazine is naming me one of their thirty under-30 to watch.
15202,Sheldon,Oh foolish Wil Wheaton it was never off.
15203,Penny,Maybe it was the first whisper of winter in the air or maybe it was the unconscious handsome man with porcelain skin and curious clothing she was about to discover lying in the field. A man who would open her mind to new possibilities and her body to new feelings.
15204,Penny,Oh gee thanks Leonard. That didn’t occur to me. If he doesn’t apologize by 5 o’clock he is going to spend the night in jail.
15205,Penny,What? Here give me give me. Oh my God. Oh my God they’re coming right towards us.
15206,Leonard,Nothing I’m fine.
15207,Sheldon,That is what is referred to as a burn on you.
15208,Sheldon,How can you be sure?
15209,Sheldon,Oh bad news. Amy’s making me go shopping with her later so looks like none of us can go.
15210,Sheldon,A second what? Pair of underwear?
15211,Penny,He’s still in surgery.
15212,Howard,Okay uh let’s get things started. Um why don’t we go around the room say your name and why you broke up with me. Want to kick it off?
15213,Sheldon,In fact you did but I was referring to Howard.
15214,Leonard,It’s just where I need them. You know she doesn’t have a lot of closet space.
15215,Penny,Hi.
15216,Howard,Ready for lunch?
15217,Sheldon,That’s a good point. My time is much too valuable. You know perhaps I should find someone to do it for me. You know someone with a rudimentary understanding of science but whose real talents lie in menial labour.
15218,Sheldon,Given your community college education I encourage you to ask me as many as possible.
15219,Leonard,I just want to talk to her.
15220,Howard,Anyway any ideas on a gift?
15221,Sheldon,It actually says at least?
15222,Raj,What do we do now?
15223,Sheldon,Yes but they all involve a green lantern and a power ring.
15224,Leonard,I did a bad thing.
15225,Sheldon,Sad.
15227,Sheldon,For instance?
15229,Sheldon,I fear Penny is being unfaithful to Leonard.
15230,Leonard,Oh great. Do that.
15231,Sheldon,Stop it. Stop celebrating me.
15232,Sheldon,Keep filling this one with babies. She’s good.
15233,Sheldon,I can’t believe it.
15234,Sheldon,I was humiliated on national radio. How do you think I’m doing?
15235,Raj,I didn’t crash it okay? My playlist was too up-tempo I got light-headed and I fell off. Okay. It all comes down to this.
15236,Raj,I can’t believe they let him into Canada.
15237,Leonard,Oh that’s not who I am.
15238,Howard,In a New Delhi minute.
15239,Penny,Well yeah.
15240,Penny,Oh thanks. I found this place in Alhambra. It’s in a woman’s basement. I think it’s a front
15241,Howard,But I also upset Sheldon and he’s not gonna want to come over if I’m there.
15242,Penny,Oh okay all right you know what? I’ll tell you what happened. We were young we were very much in love but we could only communicate through a time-traveling mailbox at my lake house.
15243,Leonard,Thank you Amy.
15244,Raj,Do you know if you look at Austria on a map it actually looks like a wiener?
15245,Leonard,I know but you’re going to be a TV star and you haven’t left me yet. That takes guts.
15246,Sheldon,Killing you? I can’t breathe.
15247,Howard,I just got an e-mail from my ex-girlfriend Lucy. She misses me and wants to get together.
15248,Leonard,And we live here so we have no choice.
15249,Penny,Leonard will you just let me handle this please? Look let’s just… Sheldon please
15250,Howard,Oh well that’s the best part.
15251,Sheldon,Don’t talk to me as if nothing’s happened between us. And yes it sure is buddy.
15252,Howard,Yeah but it’s probably difficult to pronounce.
15253,Sheldon,I don’t think you’re fully aware of the ramifications here Leonard.
15254,Raj,I’m sorry.
15255,Penny,Hey.
15256,Howard,I’m an astrophysicist. The stars don’t take a day off.
15257,Leonard,Uh I kind of have a problem I was hoping you could help me with.
15258,Leonard,Uh I’m just gonna be honest with the guy.
15259,Sheldon,I smell funny. I taste salty.
15260,Leonard,You know guys come onto her all the time so you need to like set yourself apart. You know be a little shy don’t make too much eye contact. And you know treat her with like cool detachment and and and you know fear.
15261,Raj,You went to Emily’s to apologise and when you left she was crying.
15262,Raj,Star Trek V!
15263,Penny,Like what? Yeah yeah I see you you’re making a little cheque sign in the air I got it just hold your horses. What does Leonard complain about?
15264,Raj,Uh this is my friend Sheldon. Sheldon this is Emily.
15265,Sheldon,You wouldn’t.
15266,Leonard,Maybe it’s a shipping problem.
